word,frequency
start,3
of,3825
the,4622
project,3
gutenberg,2
ebook,2
1342,2
illustration,163
george,47
allen,37
publisher,1
156,3
charing,2
cross,6
road,15
london,53
ruskin,2
house,104
reading,14
jane’s,28
letters,17
chap,1
34,1
pride,47
and,3621
prejudice,9
by,687
jane,261
austen,19
with,1089
a,2006
preface,3
saintsbury,2
illustrations,4
hugh,2
thomson,2
1894,36
chiswick,2
presscharles,2
whittingham,2
co,2
tooks,2
court,5
chancery,2
lane,12
to,4267
j,1
comyns,1
carr,1
in,1958
acknowledgment,4
all,623
i,1797
owe,6
his,1291
friendship,9
advice,16
these,73
are,357
gratefully,4
inscribed,1
walt,1
whitman,1
has,249
somewhere,6
fine,32
just,76
distinction,7
between,67
“loving,2
allowance”,2
personal,6
love”,7
this,424
applies,2
books,11
as,1214
well,186
men,36
women,22
case,32
not,1477
very,491
numerous,4
authors,1
who,294
objects,8
affection,59
it,1465
brings,3
curious,6
consequence,30
there,345
is,898
much,329
more,334
difference,13
their,453
best,45
work,22
than,298
those,63
others,59
loved,11
“by,9
convention,2
because,59
felt,106
be,1254
right,45
proper,22
thing,28
love,93
them,420
sectfairly,1
large,23
yet,75
unusually,1
choiceof,1
austenians,1
or,320
janites,1
would,481
probably,25
found,67
partisans,1
claim,6
primacy,1
almost,64
every,185
one,279
novels,3
some,209
delightful,22
freshness,1
humour,14
northanger,1
abbey,1
its,122
completeness,1
finish,5
entrain,1
obscure,1
undoubted,2
critical,4
facts,2
that,1557
scale,2
small,23
scheme,19
after,202
burlesque,1
parody,1
kind,68
which,558
first,159
rank,14
reached,19
difficulty,9
persuasion,9
relatively,1
faint,4
tone,17
enthralling,1
interest,28
devotees,1
exalt,1
above,22
exquisite,1
delicacy,12
keeping,5
catastrophe,1
mansfield,1
park,22
admittedly,1
theatrical,1
hero,2
heroine,2
insipid,2
author,5
wickedly,1
destroyed,3
romantic,4
expressly,2
admitting,2
edmund,1
only,220
took,55
fanny,2
mary,40
shocked,7
him,725
might,203
likely,41
have,874
taken,33
crawford,2
if,319
he,1324
had,1182
been,534
little,189
assiduous,2
matchless,1
rehearsalscenes,1
characters,6
mrs,349
norris,2
secured,5
believe,86
considerable,10
party,55
for,1068
sense,48
sensibility,4
perhaps,74
fewest,1
outandout,1
admirers,1
but,936
does,85
want,47
suppose,49
however,135
majority,1
at,807
least,71
competent,1
votes,1
things,34
considered,24
divided,5
emma,3
present,71
book,21
vulgar,3
verdict,1
indeed,68
fondness,1
miss,304
itself,11
patent,1
exemption,1
from,503
any,282
possible,54
charge,10
vulgarity,3
go,101
larger,7
varied,4
popular,2
time,198
composition,2
seen,74
rather,62
world,68
improved,7
her,2251
general,52
though,228
most,198
peculiar,9
characteristic,4
dialogue,3
such,392
figures,3
bates,1
eltons,2
cannot,113
unite,4
suffrages,1
everybody,34
on,725
other,217
hand,27
my,672
part,60
declare,9
unhesitatingly,1
seems,28
me,425
perfect,19
eminently,1
quintessential,1
author’s,1
works,2
contention,1
narrow,2
space,4
permitted,3
propose,4
here,66
show,9
cause,18
place,69
may,198
barely,3
necessary,31
remind,4
reader,4
was,1866
shape,4
written,20
early,32
about,123
1796,1
when,369
twentyone,1
revised,1
finished,11
chawton,1
fifteen,5
years,39
later,5
published,1
till,95
1813,1
four,36
before,223
death,8
do,322
know,237
whether,57
combination,1
fresh,10
vigorous,1
projection,1
youth,10
revision,1
middle,4
life,52
traced,3
distinct,1
superiority,2
point,45
construction,4
possesses,1
over,92
plot,2
elaborate,1
regular,4
enough,110
fielding,4
hardly,50
character,62
an,373
incident,1
could,528
retrenched,1
without,173
loss,18
story,13
elopement,11
lydia,126
wickham,161
like,87
rushworth,1
coup,1
de,43
théâtre,1
connects,1
strictest,2
way,107
course,51
earlier,4
denouement,1
complete,9
propriety,8
minor,2
passagesthe,1
loves,3
bingley,246
advent,1
mr,791
collins,160
visit,51
hunsford,21
derbyshire,23
tourfit,1
same,72
unostentatious,1
masterly,2
fashion,8
no,468
attempt,23
hideandseek,1
inandout,1
business,45
transactions,3
frank,1
churchill,1
fairfax,1
contributes,2
doubt,42
good,160
deal,33
intrigue,1
think,216
feature,3
otherwise,16
admirable,3
although,2
always,124
liked,28
something,74
misunderstanding,1
afforded,6
opportunities,3
display,6
incomparable,1
talent,3
noticed,9
presently,3
she,1721
satisfied,32
perfectly,51
natural,27
occasions,9
provided,7
false,14
account,40
darcy’s,46
conduct,26
given,60
awkwardness,4
arising,6
equal,30
naturalness,1
gradual,2
transformation,1
elizabeth’s,40
own,193
feelings,88
positive,4
aversion,1
actual,7
allgrasping,1
playwright,1
ever,128
laid,9
upon,65
dare,37
say,151
were,566
situations,1
prove,9
startling,1
garish,1
footlights,1
characterscheme,1
too,144
subtle,2
delicate,8
pit,1
gallery,7
made,131
certainly,68
hampered,1
loosenesses,1
sometimes,40
disguised,1
conveniences,1
novelist,2
can,207
avail,2
himself,122
appear,31
once,62
stage,2
thought,112
will,415
doubtless,4
seem,21
heretical,1
school,3
critics,1
highest,10
merit,7
choicest,1
gift,2
sets,1
off,61
gifts,1
graces,2
advantageously,3
eye,15
mar,1
gracesappreciably,1
quite,98
consciouslyto,1
eyes,52
means,58
ultracritical,1
badlybuilt,1
novel,2
excelled,1
pathetic,2
humorous,2
displayed,4
consummate,1
command,7
dialogueperhaps,1
rarest,1
facultieswould,1
infinitely,5
better,91
faultless,2
acted,6
told,71
puppets,1
pebbles,1
mouths,3
despite,1
ability,1
shown,8
working,2
out,131
should,255
put,35
far,60
lower,5
did,263
contain,7
what,451
masterpieces,1
austen’s,9
faculty,1
charactercreationmasterpieces,1
admit,8
john,3
thorpe,1
two,143
company,22
instance,8
still,76
superior,21
characteristics,2
so,592
they,594
times,20
easier,1
apprehend,1
express,22
particular,29
differently,8
apprehended,2
different,38
persons,14
possess,5
greater,26
affinity,3
whole,80
addison,5
species,1
great,146
british,2
genus,1
differences,2
subject,83
literary,1
obvious,2
sex,7
count,1
distinctly,2
feminine,1
element,1
“mr,13
spectator”,1
genius,6
nothing,182
mannish,2
masculine,1
likeness,4
quality,6
consists,2
number,6
common,24
subdivisions,1
qualitydemureness,1
extreme,5
minuteness,2
touch,5
avoidance,2
loud,3
tones,2
glaring,2
effects,6
also,35
both,68
certain,54
inhuman,1
unamiable,1
cruelty,5
custom,3
judge,12
grossly,1
contrast,4
nature,27
savagery,1
swift,4
mildness,3
boisterousness,1
smollett,1
even,94
ferocious,1
practical,1
jokes,2
immediate,13
predecessor,1
burney,1
allowed,27
protest,2
restrained,2
wellmannered,1
insatiable,1
ruthless,1
delight,28
roasting,1
cutting,2
up,108
fool,5
man,141
eighteenth,2
century,2
push,1
taste,17
further,24
lady,179
nineteenth,1
principles,2
heart,42
shrunk,1
letter,111
unfortunate,6
husband,43
spectator,2
describes,1
gusto,1
innocence,1
how,203
wife,44
friend,102
induce,4
play,19
blindman’sbuff,1
another,59
letterthat,1
damsel,1
fourteen,1
wishes,35
marry,45
shapely,1
assures,1
selected,4
mentor,1
“he,32
admires,3
your,434
spectators,1
mightily”might,1
ladylike,1
intelligent,5
bennet,290
days,28
lydia’s,40
greatgrandmother,1
while,77
unreasonably,2
“cynicism”,1
touches,1
satire,2
musgrove’s,1
selfdeceiving,1
regrets,4
son,19
word,48
“cynical”,1
misused,1
english,3
language,6
especially,25
gratuitous,1
falsification,1
original,6
applied,13
rough,2
snarling,1
invective,1
gentle,6
oblique,1
cynicism,2
perception,1
“the,33
side”,4
accepted,17
hells,1
beneath”,1
consciousness,3
motives,7
nearly,10
mixed,3
identical,1
beif,1
then,164
woman,54
care,34
live,23
fool’s,2
paradise,1
knowledge,22
cynic,1
epicurean,1
dissecting,1
displaying,3
setting,3
fools,1
mean,29
take,81
worse,15
immensely,1
artist,1
respect,33
art,6
generally,17
goldwin,1
smith,1
truly,8
observed,28
“metaphor,1
exhausted,2
depicting,1
perfection,1
combined,1
narrowness,1
field”,1
justly,4
added,72
we,244
need,20
beyond,36
comparison,15
miniature,2
painter,2
make,171
latter,24
observation,14
exact,4
must,313
use,17
term,2
restricted,1
memling,1
end,33
history,5
painting,1
meissonier,1
cosway,1
am,322
myself,87
“narrow”,1
connection,20
microcosm,1
cosmic,1
eminent,2
littleness,1
feel,41
herself,231
called,44
paint,2
sure,95
painted,1
remarkable,8
short,46
periods,2
writingone,1
three,60
fiveshe,1
executed,2
six,11
capital,4
left,66
single,11
failure,2
paste,1
defective,2
remember,20
anybody,28
born,4
decadethat,1
eighteenthcentury,2
seventiesindependently,1
exhibited,2
full,20
scott,1
required,11
hill,11
mountain,1
ballad,1
coleridge,1
metaphysics,1
german,1
enable,2
chip,1
classical,1
shell,1
girl,37
brought,39
country,38
retirement,3
ladies,75
went,69
back,46
into,144
white,5
frost,3
pierce,1
kid,1
shoes,3
sudden,11
cold,19
gravest,1
fears,11
studies,3
ways,4
fantastic,2
limits,2
restrictions,1
against,53
wollstonecraft,1
protested,9
judgment,15
drew,20
touched,6
pretty,24
journey,21
black,4
extended,4
knew,57
knows,10
humanity,5
head,33
mistake,7
limited,1
true,20
old,15
“absolute”,1
never,229
tried,16
idealism,1
realism,2
real,34
degree,23
makes,9
our,75
day,125
look,59
merely,34
deadalive,1
frenchman,1
except,24
late,20
m,1
maupassant,1
watch,3
laboriously,1
piling,2
strokes,2
hope,121
giving,26
impression,9
you,1216
get,53
none,19
lucky,6
discarding,1
twothirds,1
gives,10
rest,41
myriad,1
trivial,1
unforced,1
build,2
picture,15
magic,1
superfluous,1
changed,9
mind,53
elizabeth,599
“while,3
stirring,2
fire”,4
stirred,1
fire,5
darcy,358
“brought,1
coffeecup,2
himself”,9
each,65
swift“taller,1
breadth,1
nail”which,1
impressed,2
halfreluctant,1
thackeray,2
outspoken,1
admiration,26
near,39
swiftian,1
appears,6
nowhere,2
else,39
immortal,1
ineffable,1
really,89
anything,77
said,405
therealive,1
imperishable,1
hundreds,1
prime,1
ministers,1
archbishops,1
“metals,1
semimetals,1
distinguished,7
philosophers”,1
second,25
rash,1
conclude,5
impossible,43
nonexistent,1
interesting,17
spoiled,2
draught,1
unsuccessful,1
study,7
dashwood,1
formality,4
underbreeding,1
meanness,2
portrait,2
half,65
alive,4
unnatural,5
fact,14
“miniature”,1
gigantic,1
side,53
philistinism,1
wellmeaning,1
hidebound,1
morality,2
formal,9
pettiness,1
grovelling,1
materialism,1
selfishness,2
receives,1
exhibition,2
speech,12
action,2
inestimable,1
